date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:23%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:23	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2019%20Apr%202024%2010:20:22%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:25%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:26	165548/165548	---M--	200	added ('OK')	font/ttf	date:Fri,%2019%20Apr%202024%2010:20:25%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:27%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:29	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2019%20Apr%202024%2010:20:27%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:30%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:31	4178/4178	---M--	200	added ('OK')	image/gif	date:Fri,%2019%20Apr%202024%2010:20:29%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:32	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2019%20Apr%202024%2010:20:32%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:32%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot?	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475d41d.eot	(from https://bodhi-space-j5vd.b12sites.com/index)
